,Year,Comm. Code,Weight (kg),Quantity
9531,2020,291100,861690.405,861690.405
9534,2020,291211,8571.229,8571.229
9536,2020,291212,28.765,28.765
9537,2020,291219,29357560.233,29357560.233
9539,2020,291221,572695.576,572695.576
9541,2020,291229,5776151.11,5776151.11
9543,2020,291241,103589.22,103589.22
9545,2020,291242,178787.76,178787.76
9547,2020,291249,3911878.947,3911878.947
9549,2020,291250,1540721.844,1540721.844
9552,2020,291260,21951634.0,21951634.0
9554,2020,291300,6106519.232,6106519.232
9556,2020,291411,703075987.5,703075987.5
9558,2020,291412,1015126.469,1015126.469
9560,2020,291413,25819198.734,25819198.734
9561,2020,291419,6442379.726,6442379.726
9564,2020,291422,346698.9,346698.9
9566,2020,291423,2136888.107,2136888.107
9567,2020,291429,9912726.652,9912726.652
9569,2020,291439,570056.206,570056.206
9571,2020,291440,5109555.323,5109555.323
9573,2020,291450,1896110.947,1896110.947
9575,2020,291461,1524312.473,1524312.473
9578,2020,291462,12669.008,12669.008
9579,2020,291469,1969764.128,1969764.128
9581,2020,291479,308637.792,308637.792
9584,2020,291511,50316.742,50316.742
9585,2020,291512,3452919.521,3452919.521
9587,2020,291513,123749.443,123749.443
9590,2020,291521,69034074.101,69034074.101
9592,2020,291524,3058692.0,3058692.0
9593,2020,291529,3284768.392,3284768.392
9595,2020,291531,,
9598,2020,291532,275042956.63,275042956.63
9600,2020,291533,9025196.487,9025196.487
9602,2020,291539,23683902.348,23683902.348
9604,2020,291540,2292793.462,2292793.462
9606,2020,291550,36981978.885,36981978.885
9607,2020,291560,24247590.938,24247590.938
9609,2020,291570,23662004.178,23662004.178
9611,2020,291590,181227680.615,181227680.615
9614,2020,291611,62620661.647,62620661.647
9615,2020,291612,,
9617,2020,291613,11229839.67,11229839.67
9619,2020,291614,,
9621,2020,291615,2385359.421,2385359.421
9624,2020,291619,3405839.265,3405839.265
9625,2020,291620,2033501.792,2033501.792
9628,2020,291631,6418100.988,6418100.988
9629,2020,291632,760621.297,760621.297
9632,2020,291634,21099.486,21099.486
9633,2020,291639,499538.416,499538.416
9635,2020,291711,841797.573,841797.573
9637,2020,291712,9699243.43,9699243.43
9639,2020,291713,664693.042,664693.042
9641,2020,291714,970026.955,970026.955
9643,2020,291719,3499048.576,3499048.576
9645,2020,291720,21601035.908,21601035.908
9647,2020,291732,15857317.771,15857317.771
9649,2020,291733,,
9651,2020,291734,2265188.95,2265188.95
9654,2020,291735,47408299.223,47408299.223
9655,2020,291736,655790124.798,655790124.798
9657,2020,291737,,
9659,2020,291739,,
9661,2020,291811,,
9663,2020,291812,224610.118,224610.118
9665,2020,291813,249272.888,249272.888
9668,2020,291814,1926026.655,1926026.655
9669,2020,291815,1264656.993,1264656.993
9671,2020,291816,590447.214,590447.214
9674,2020,291819,6175696.294,6175696.294
9676,2020,291821,364497.342,364497.342
9678,2020,291822,1591.779,1591.779
9680,2020,291823,366194.462,366194.462
9682,2020,291829,21075680.116,21075680.116
9684,2020,291830,5719455.874,5719455.874
9686,2020,291899,5343508.763,5343508.763
9689,2020,291990,5812335.955,5812335.955
9690,2020,292011,,
9691,2020,292019,116074.558,116074.558
9695,2020,292023,,
9698,2020,292029,5833281.116,5833281.116
9700,2020,292090,51248736.661,51248736.661
9702,2020,292111,23378.075,23378.075
9704,2020,292112,,
9706,2020,292119,9163326.568,9163326.568
9708,2020,292121,39385239.948,39385239.948
9710,2020,292122,60436672.402,60436672.402
9713,2020,292129,41990633.017,41990633.017
9714,2020,292130,16372657.603,16372657.603
9716,2020,292141,197367.845,197367.845
9718,2020,292142,12845205.673,12845205.673
9720,2020,292143,5847134.981,5847134.981
9722,2020,292144,172193.035,172193.035
9724,2020,292145,293438.346,293438.346
9726,2020,292146,,
9727,2020,292149,10193615.018,10193615.018
9729,2020,292151,8125066.541,8125066.541
9732,2020,292159,5785738.239,5785738.239
9733,2020,292211,,
9736,2020,292212,123764880.0,123764880.0
9737,2020,292214,,
9739,2020,292215,49111132.0,49111132.0
9741,2020,292217,5040.0,5040.0
9743,2020,292219,27896499.172,27896499.172
9745,2020,292221,556276.61,556276.61
9747,2020,292229,1188028.807,1188028.807
9749,2020,292231,,
9750,2020,292239,192340.0,192340.0
9752,2020,292241,1250446.341,1250446.341
9754,2020,292242,,
9756,2020,292243,6556.568,6556.568
9758,2020,292244,200.0,200.0
9759,2020,292249,12656462.907,12656462.907
9761,2020,292250,1279174.871,1279174.871
9763,2020,292310,187714.894,187714.894
9765,2020,292320,7095183.836,7095183.836
9768,2020,292390,22577588.838,22577588.838
9770,2020,292411,,
9772,2020,292412,,
9774,2020,292419,13756923.917,13756923.917
9775,2020,292421,428487.426,428487.426
9777,2020,292423,,
9780,2020,292429,6421952.545,6421952.545
9782,2020,292511,117517.043,117517.043
9784,2020,292519,1625433.883,1625433.883
9786,2020,292529,6184599.48,6184599.48
9789,2020,292610,306639679.144,306639679.144
9791,2020,292620,831668.27,831668.27
9792,2020,292640,1000.953,1000.953
9794,2020,292690,258407396.366,258407396.366
9796,2020,292700,2053748.335,2053748.335
9798,2020,292800,2981950.589,2981950.589
9800,2020,292910,157128106.515,157128106.515
9802,2020,292990,,
9804,2020,293020,425864.265,425864.265
9806,2020,293030,51850.455,51850.455
9808,2020,293040,206746417.014,206746417.014
9810,2020,293060,3.355,3.355
9812,2020,293080,,
9814,2020,293090,87292733.873,87292733.873
9819,2020,293139,2717498.596,2717498.596
9820,2020,293190,18147142.385,18147142.385
9823,2020,293211,20047487.668,20047487.668
9825,2020,293212,535962.133,535962.133
9827,2020,293213,241320.684,241320.684
9828,2020,293214,110631.837,110631.837
9830,2020,293219,741928.227,741928.227
9832,2020,293220,4295711.28,4295711.28
9835,2020,293295,,
9836,2020,293299,4053017.985,4053017.985
9838,2020,293311,4302.458,4302.458
9840,2020,293319,956823.373,956823.373
9842,2020,293321,337576.655,337576.655
9844,2020,293329,2701852.065,2701852.065
9846,2020,293331,1049595.494,1049595.494
9848,2020,293332,2374569.754,2374569.754
9850,2020,293333,,
9852,2020,293339,17973853.252,17973853.252
9854,2020,293341,,
9855,2020,293349,1090802.556,1090802.556
9857,2020,293352,55.674,55.674
9859,2020,293353,147.129,147.129
9861,2020,293354,,
9863,2020,293355,,
9864,2020,293359,10411212.938,10411212.938
9867,2020,293361,447094.07,447094.07
9868,2020,293369,15271774.552,15271774.552
9871,2020,293371,267965235.856,267965235.856
9872,2020,293372,,
9873,2020,293379,11763738.723,11763738.723
9875,2020,293391,,
9877,2020,293392,,
9878,2020,293399,16379100.544,16379100.544
9880,2020,293410,648203.009,648203.009
9882,2020,293420,,
9884,2020,293430,2605679.025,2605679.025
9886,2020,293491,,
9887,2020,293499,20577832.107,20577832.107
9889,2020,293550,,
9891,2020,293590,3105148.165,3105148.165
9893,2020,293621,1557696.477,1557696.477
9895,2020,293622,58068.88,58068.88
9897,2020,293623,698895.137,698895.137
9899,2020,293624,606483.945,606483.945
9901,2020,293625,16691.027,16691.027
9903,2020,293626,31168.085,31168.085
9905,2020,293627,92986.58,92986.58
9907,2020,293628,4402236.684,4402236.684
9909,2020,293629,4568732.255,4568732.255
9911,2020,293690,322290.234,322290.234
9914,2020,293711,0.078,0.078
9915,2020,293712,3900.788,3900.788
9917,2020,293719,77.129,77.129
9919,2020,293721,246.173,246.173
9921,2020,293722,477.822,477.822
9923,2020,293723,354.396,354.396
9925,2020,293729,6416.548,6416.548
9928,2020,293750,1665.685,1665.685
9929,2020,293790,247.218,247.218
9931,2020,293810,,
9933,2020,293890,7677338.472,7677338.472
9935,2020,293911,1489.591,1489.591
9937,2020,293919,13783.396,13783.396
9939,2020,293920,52634.8,52634.8
9941,2020,293930,321.239,321.239
9943,2020,293941,,
9946,2020,293942,22.114,22.114
9947,2020,293959,194.0,194.0
9950,2020,293969,5313.023,5313.023
9952,2020,293971,,
9953,2020,293979,1929.374,1929.374
9955,2020,293980,1761.376,1761.376
9957,2020,294000,6271188.716,6271188.716
9959,2020,294110,165433.626,165433.626
9961,2020,294120,33.0,33.0
9963,2020,294130,24359.532,24359.532
9966,2020,294140,300.0,300.0
9967,2020,294150,8481.799,8481.799
9969,2020,294190,489501.549,489501.549
9971,2020,294200,1453438.664,1453438.664
9298,2019,290110,248605449.786,248605449.786
9300,2019,290121,2509795020.014,2509795020.014
9302,2019,290122,3127295059.0,3127295059.0
9305,2019,290123,22108698.0,22108698.0
9306,2019,290124,290391159.944,290391159.944
9308,2019,290129,84512370.807,84512370.807
9310,2019,290211,17493638.218,17493638.218
9312,2019,290219,24790922.811,24790922.811
9314,2019,290220,,
9316,2019,290230,331382854.826,331382854.826
9318,2019,290241,84411079.87,84411079.87
9320,2019,290242,,
9322,2019,290243,14937979260.299,14937979260.299
9324,2019,290244,,
9326,2019,290250,3243055948.439,3243055948.439
9328,2019,290260,23793044.454,23793044.454
9330,2019,290270,649264689.149,649264689.149
9331,2019,290290,34722342.754,34722342.754
9333,2019,290311,,
9335,2019,290312,107234.505,107234.505
9337,2019,290313,3824966.0,3824966.0
9340,2019,290315,192988396.712,192988396.712
9342,2019,290319,2293069.789,2293069.789
9344,2019,290321,986094230.0,986094230.0
9346,2019,290322,5908561.417,5908561.417
9348,2019,290323,51530199.168,51530199.168
9350,2019,290329,35308.558,35308.558
9352,2019,290339,3108670.275,3108670.275
9355,2019,290372,73911.0,73911.0
9358,2019,290376,48.0,48.0
9360,2019,290377,1063.151,1063.151
9362,2019,290378,3007.082,3007.082
9364,2019,290379,1770342.52,1770342.52
9366,2019,290381,,
9367,2019,290389,5523136.008,5523136.008
9369,2019,290391,,
9371,2019,290394,,
9372,2019,290399,15211809.923,15211809.923
9374,2019,290410,,
9376,2019,290420,9481997.15,9481997.15
9379,2019,290499,7080025.865,7080025.865
9381,2019,290511,10895173028.141,10895173028.141
9383,2019,290512,125204966.209,125204966.209
9385,2019,290513,,
9387,2019,290514,97005440.504,97005440.504
9389,2019,290516,208859137.65,208859137.65
9391,2019,290517,49306310.347,49306310.347
9393,2019,290519,217833068.981,217833068.981
9395,2019,290522,1809560.696,1809560.696
9397,2019,290529,167784053.645,167784053.645
9399,2019,290531,9947041652.95,9947041652.95
9401,2019,290532,81155653.361,81155653.361
9403,2019,290539,200261680.971,200261680.971
9405,2019,290541,4302506.0,4302506.0
9407,2019,290542,3946950.211,3946950.211
9409,2019,290543,297377.715,297377.715
9411,2019,290544,1455779.794,1455779.794
9413,2019,290545,352217197.751,352217197.751
9415,2019,290549,1845440.503,1845440.503
9417,2019,290559,966776.918,966776.918
9419,2019,290611,15978351.54,15978351.54
9421,2019,290612,22854.683,22854.683
9423,2019,290613,822482.388,822482.388
9425,2019,290619,1533400.254,1533400.254
9427,2019,290621,1095510.738,1095510.738
9429,2019,290629,3097338.584,3097338.584
9431,2019,290711,467799527.744,467799527.744
9434,2019,290712,6717856.565,6717856.565
9435,2019,290713,,
9437,2019,290715,25998.508,25998.508
9439,2019,290719,33973816.827,33973816.827
9441,2019,290721,1877349.63,1877349.63
9443,2019,290722,5187687.907,5187687.907
9445,2019,290723,606437573.251,606437573.251
9447,2019,290729,11293984.443,11293984.443
9449,2019,290819,65329667.475,65329667.475
9451,2019,290899,1019794.952,1019794.952
9453,2019,290911,699.0,699.0
9455,2019,290919,178682952.111,178682952.111
9457,2019,290920,212888.404,212888.404
9459,2019,290930,11364448.896,11364448.896
9461,2019,290941,,
9463,2019,290943,168658295.887,168658295.887
9465,2019,290944,31802020.18,31802020.18
9467,2019,290949,88738044.221,88738044.221
9469,2019,290950,9267736.812,9267736.812
9471,2019,290960,12141234.613,12141234.613
9474,2019,291020,,
9476,2019,291030,17767656.749,17767656.749
9478,2019,291090,8076938.908,8076938.908
9480,2019,291100,1008260.828,1008260.828
9482,2019,291211,,
9484,2019,291212,58.819,58.819
9486,2019,291219,30790701.986,30790701.986
9488,2019,291221,929049.538,929049.538
9490,2019,291229,5225786.143,5225786.143
9492,2019,291241,51729.143,51729.143
9494,2019,291242,89786.761,89786.761
9496,2019,291249,4672300.859,4672300.859
9498,2019,291250,828040.352,828040.352
9500,2019,291260,27001470.247,27001470.247
9502,2019,291300,2528323.804,2528323.804
9504,2019,291411,779216637.934,779216637.934
9506,2019,291412,418566.0,418566.0
9508,2019,291413,34052236.421,34052236.421
9510,2019,291419,6478746.932,6478746.932
9512,2019,291422,9232406.568,9232406.568
9514,2019,291423,1958344.087,1958344.087
9516,2019,291429,11346382.867,11346382.867
9518,2019,291439,1055249.934,1055249.934
9520,2019,291440,5679022.885,5679022.885
9522,2019,291450,1524559.071,1524559.071
9525,2019,291461,1182132.621,1182132.621
9526,2019,291462,32437.433,32437.433
9528,2019,291469,2160275.018,2160275.018
9530,2019,291479,240503.272,240503.272
9532,2019,291511,,
9534,2019,291512,,
9536,2019,291513,206803.953,206803.953
9538,2019,291521,,
9540,2019,291524,1045005.081,1045005.081
9542,2019,291529,2684047.544,2684047.544
9544,2019,291531,398435.039,398435.039
9546,2019,291532,228371931.64,228371931.64
9548,2019,291533,,
9550,2019,291539,19557426.719,19557426.719
9552,2019,291540,,
9554,2019,291550,28175713.972,28175713.972
9556,2019,291560,27729334.21,27729334.21
9558,2019,291570,17243166.492,17243166.492
9560,2019,291590,216707691.19,216707691.19
9563,2019,291611,56520791.213,56520791.213
9564,2019,291612,45772501.975,45772501.975
9566,2019,291613,9391759.616,9391759.616
9568,2019,291614,215583428.547,215583428.547
9570,2019,291615,2451125.439,2451125.439
9572,2019,291619,4825929.221,4825929.221
9575,2019,291620,1638550.622,1638550.622
9576,2019,291631,2028617.606,2028617.606
9578,2019,291632,1031989.866,1031989.866
9580,2019,291634,12160.484,12160.484
9582,2019,291639,818126.037,818126.037
9584,2019,291711,693572.877,693572.877
9586,2019,291712,11421845.984,11421845.984
9588,2019,291713,1345545.982,1345545.982
9590,2019,291714,313704.628,313704.628
9592,2019,291719,3961172.697,3961172.697
9594,2019,291720,23192794.059,23192794.059
9596,2019,291732,72269180.596,72269180.596
9598,2019,291733,33932509.501,33932509.501
9600,2019,291734,2453746.47,2453746.47
9602,2019,291735,23498029.381,23498029.381
9605,2019,291736,1037224473.862,1037224473.862
9607,2019,291737,20937451.774,20937451.774
9609,2019,291739,441585695.74,441585695.74
9610,2019,291811,16266302.466,16266302.466
9612,2019,291812,155087.7,155087.7
9614,2019,291813,256843.022,256843.022
9616,2019,291814,991453.218,991453.218
9618,2019,291815,916586.741,916586.741
9620,2019,291816,522964.864,522964.864
9623,2019,291819,16266330.668,16266330.668
9625,2019,291821,113042.285,113042.285
9627,2019,291822,3944.552,3944.552
9629,2019,291823,453520.589,453520.589
9631,2019,291829,18104484.545,18104484.545
9633,2019,291830,5681166.48,5681166.48
9635,2019,291899,6098735.175,6098735.175
9637,2019,291990,5789641.64,5789641.64
9639,2019,292011,,
9641,2019,292019,124499.088,124499.088
9645,2019,292023,,
9648,2019,292029,4553499.519,4553499.519
9650,2019,292030,,
9651,2019,292090,57036176.601,57036176.601
9653,2019,292111,28494.255,28494.255
9655,2019,292112,81.269,81.269
9657,2019,292113,,
9659,2019,292119,8445413.23,8445413.23
9661,2019,292121,32136929.509,32136929.509
9663,2019,292122,51231293.677,51231293.677
9666,2019,292129,43503534.402,43503534.402
9668,2019,292130,10441558.869,10441558.869
9669,2019,292141,328533.886,328533.886
9671,2019,292142,11542297.792,11542297.792
9673,2019,292143,6525713.105,6525713.105
9675,2019,292144,375289.273,375289.273
9677,2019,292145,343629.035,343629.035
9679,2019,292146,155.965,155.965
9680,2019,292149,6326006.616,6326006.616
9682,2019,292151,10447548.647,10447548.647
9684,2019,292159,,
9686,2019,292211,,
9688,2019,292212,,
9690,2019,292214,,
9691,2019,292215,43841372.0,43841372.0
9692,2019,292217,1258563.0,1258563.0
9694,2019,292218,3.0,3.0
9695,2019,292219,27811089.072,27811089.072
9697,2019,292221,637272.669,637272.669
9699,2019,292229,1781077.343,1781077.343
9701,2019,292231,47.787,47.787
9702,2019,292239,168331.517,168331.517
9704,2019,292241,1214505.29,1214505.29
9706,2019,292242,,
9708,2019,292243,9968.67,9968.67
9710,2019,292244,,
9711,2019,292249,12629374.411,12629374.411
9713,2019,292250,777353.773,777353.773
9715,2019,292310,327278.513,327278.513
9717,2019,292320,9727257.259,9727257.259
9719,2019,292330,92.0,92.0
9722,2019,292390,19053483.61,19053483.61
9724,2019,292411,,
9726,2019,292419,17901452.4,17901452.4
9728,2019,292421,418370.575,418370.575
9730,2019,292423,,
9733,2019,292429,7007909.938,7007909.938
9735,2019,292511,61454.009,61454.009
9737,2019,292519,1156627.84,1156627.84
9739,2019,292529,6727504.979,6727504.979
9741,2019,292610,309101557.428,309101557.428
9743,2019,292620,651453.69,651453.69
9745,2019,292640,,
9747,2019,292690,250273945.785,250273945.785
9749,2019,292700,2292432.206,2292432.206
9751,2019,292800,2933105.291,2933105.291
9753,2019,292910,162107416.579,162107416.579
9755,2019,292990,,
9757,2019,293020,543086.182,543086.182
9759,2019,293030,45829.259,45829.259
9762,2019,293040,220154818.997,220154818.997
9765,2019,293090,79440953.193,79440953.193
9769,2019,293137,13161.0,13161.0
9770,2019,293138,5040.0,5040.0
9771,2019,293139,2523635.905,2523635.905
9773,2019,293190,23063819.232,23063819.232
9775,2019,293211,3495195.425,3495195.425
9777,2019,293212,109555.188,109555.188
9779,2019,293213,354273.304,354273.304
9781,2019,293214,94581.552,94581.552
9783,2019,293219,565627.349,565627.349
9785,2019,293220,13905280.227,13905280.227
9787,2019,293293,14450.0,14450.0
9789,2019,293295,,
9790,2019,293299,3548142.097,3548142.097
9792,2019,293311,11196.383,11196.383
9794,2019,293319,1059329.044,1059329.044
9796,2019,293321,401318.566,401318.566
9798,2019,293329,2786377.274,2786377.274
9800,2019,293331,524755.432,524755.432
9803,2019,293332,2634599.368,2634599.368
9804,2019,293333,,
9806,2019,293339,15280693.919,15280693.919
9808,2019,293341,,
9809,2019,293349,965554.514,965554.514
9811,2019,293352,,
9813,2019,293353,189.41,189.41
9815,2019,293354,560.449,560.449
9817,2019,293355,,
9818,2019,293359,9736594.062,9736594.062
9820,2019,293361,435015.443,435015.443
9822,2019,293369,15480652.291,15480652.291
9824,2019,293371,202093886.311,202093886.311
9826,2019,293372,5.0,5.0
9827,2019,293379,10762323.88,10762323.88
9829,2019,293391,,
9831,2019,293399,12658768.618,12658768.618
9833,2019,293410,638634.825,638634.825
9835,2019,293420,,
9837,2019,293430,3237771.274,3237771.274
9839,2019,293491,,
9841,2019,293499,19910380.034,19910380.034
9843,2019,293510,,
9845,2019,293550,,
9847,2019,293590,2874834.565,2874834.565
9849,2019,293621,1274458.714,1274458.714
9851,2019,293622,27118.247,27118.247
9853,2019,293623,572294.949,572294.949
9855,2019,293624,658658.962,658658.962
9857,2019,293625,6044.597,6044.597
9859,2019,293626,19925.61,19925.61
9861,2019,293627,256749.085,256749.085
9863,2019,293628,5686926.911,5686926.911
9865,2019,293629,4213788.488,4213788.488
9867,2019,293690,325730.476,325730.476
9869,2019,293711,,
9870,2019,293712,3857.468,3857.468
9872,2019,293719,36.64,36.64
9874,2019,293721,1181.313,1181.313
9876,2019,293722,394.086,394.086
9878,2019,293723,820.312,820.312
9880,2019,293729,19428.933,19428.933
9883,2019,293750,1225.071,1225.071
9884,2019,293790,372.062,372.062
9886,2019,293810,17.646,17.646
9888,2019,293890,7447680.978,7447680.978
9890,2019,293911,1965.67,1965.67
9893,2019,293919,12623.492,12623.492
9894,2019,293920,35525.0,35525.0
9896,2019,293930,337.727,337.727
9898,2019,293941,,
9900,2019,293942,2.946,2.946
9902,2019,293949,,
9903,2019,293959,239.596,239.596
9905,2019,293962,5.0,5.0
9906,2019,293969,6420.0,6420.0
9908,2019,293971,6.164,6.164
9909,2019,293979,2117.2,2117.2
9911,2019,293980,1734.259,1734.259
9913,2019,294000,7115972.867,7115972.867
9915,2019,294110,310145.371,310145.371
9917,2019,294120,24.0,24.0
9919,2019,294130,,
9921,2019,294140,2475.0,2475.0
9923,2019,294150,7620.726,7620.726
9925,2019,294190,629070.493,629070.493
9927,2019,294200,1602365.006,1602365.006
9621,2018,290110,98546263.677,98546263.677
9622,2018,290121,,
9624,2018,290122,,
9627,2018,290123,7606108.391,7606108.391
9629,2018,290124,320286660.461,320286660.461
9631,2018,290129,82675887.074,82675887.074
9633,2018,290211,4046723.233,4046723.233
9635,2018,290219,25617472.826,25617472.826
9637,2018,290220,2572484956.554,2572484956.554
9639,2018,290230,327344632.204,327344632.204
9641,2018,290241,262353216.175,262353216.175
9642,2018,290242,,
9644,2018,290243,,
9646,2018,290244,,
9648,2018,290250,,
9651,2018,290260,179057618.389,179057618.389
9653,2018,290270,557853699.545,557853699.545
9655,2018,290290,38671304.604,38671304.604
9657,2018,290311,470512.042,470512.042
9659,2018,290312,238361.266,238361.266
9661,2018,290313,3422872.0,3422872.0
9662,2018,290315,505430651.0,505430651.0
9664,2018,290319,3870652.091,3870652.091
9666,2018,290321,810109950.0,810109950.0
9668,2018,290322,5529989.784,5529989.784
9670,2018,290323,93121268.49,93121268.49
9672,2018,290329,11615.037,11615.037
9674,2018,290339,3316936.405,3316936.405
9677,2018,290372,73911.0,73911.0
9678,2018,290376,,
9681,2018,290377,104.172,104.172
9683,2018,290378,26540.025,26540.025
9685,2018,290379,1182173.659,1182173.659
9687,2018,290389,7373261.134,7373261.134
9689,2018,290391,3300219.846,3300219.846
9691,2018,290399,18750463.222,18750463.222
9693,2018,290410,15829916.943,15829916.943
9695,2018,290420,15468556.421,15468556.421
9698,2018,290499,4199193.745,4199193.745
9699,2018,290511,,
9702,2018,290512,117659205.185,117659205.185
9704,2018,290513,198047019.137,198047019.137
9705,2018,290514,,
9708,2018,290516,197816689.995,197816689.995
9710,2018,290517,44970635.819,44970635.819
9712,2018,290519,220585113.564,220585113.564
9714,2018,290522,1704872.786,1704872.786
9716,2018,290529,216237577.982,216237577.982
9718,2018,290531,9799925757.697,9799925757.697
9719,2018,290532,,
9722,2018,290539,196494728.364,196494728.364
9724,2018,290541,3226744.153,3226744.153
9726,2018,290542,3658194.643,3658194.643
9728,2018,290543,542347.674,542347.674
9730,2018,290544,2198260.412,2198260.412
9732,2018,290545,238932796.015,238932796.015
9734,2018,290549,1965457.742,1965457.742
9736,2018,290559,1087031.329,1087031.329
9738,2018,290611,10359878.987,10359878.987
9739,2018,290612,,
9742,2018,290613,1615400.167,1615400.167
9744,2018,290619,1540658.33,1540658.33
9746,2018,290621,1432323.901,1432323.901
9748,2018,290629,2497278.431,2497278.431
9749,2018,290711,,
9752,2018,290712,13259745.774,13259745.774
9754,2018,290713,17489929.057,17489929.057
9756,2018,290715,15813.747,15813.747
9758,2018,290719,45723318.967,45723318.967
9760,2018,290721,1380723.183,1380723.183
9762,2018,290722,6362704.521,6362704.521
9764,2018,290723,469662976.519,469662976.519
9766,2018,290729,12423981.484,12423981.484
9768,2018,290819,46260512.466,46260512.466
9770,2018,290899,928614.502,928614.502
9772,2018,290911,1149.0,1149.0
9774,2018,290919,95328842.536,95328842.536
9776,2018,290920,189404.161,189404.161
9778,2018,290930,9717854.378,9717854.378
9780,2018,290941,737743995.315,737743995.315
9782,2018,290943,182900250.213,182900250.213
9784,2018,290944,26195606.593,26195606.593
9786,2018,290949,86622032.453,86622032.453
9788,2018,290950,6351945.063,6351945.063
9790,2018,290960,11243093.725,11243093.725
9792,2018,291020,,
9795,2018,291030,20089143.121,20089143.121
9797,2018,291090,8421833.936,8421833.936
9799,2018,291100,695678.667,695678.667
9800,2018,291211,,
9803,2018,291212,48.038,48.038
9805,2018,291219,23883457.804,23883457.804
9807,2018,291221,1837533.205,1837533.205
9809,2018,291229,4407138.679,4407138.679
9811,2018,291241,93779.025,93779.025
9813,2018,291242,204707.821,204707.821
9815,2018,291249,3936183.144,3936183.144
9817,2018,291250,219116.834,219116.834
9819,2018,291260,25233208.0,25233208.0
9821,2018,291300,618581.69,618581.69
9823,2018,291411,677715644.968,677715644.968
9825,2018,291412,1107860.399,1107860.399
9826,2018,291413,,
9829,2018,291419,8405018.921,8405018.921
9831,2018,291422,69301297.199,69301297.199
9833,2018,291423,1583628.367,1583628.367
9835,2018,291429,11159521.885,11159521.885
9837,2018,291439,2377171.499,2377171.499
9839,2018,291440,5144845.164,5144845.164
9841,2018,291450,1065002.705,1065002.705
9843,2018,291461,237827.408,237827.408
9845,2018,291462,29161.664,29161.664
9847,2018,291469,843224.442,843224.442
9849,2018,291479,250928.165,250928.165
9851,2018,291511,248779.26,248779.26
9853,2018,291512,4939833.589,4939833.589
9855,2018,291513,233888.732,233888.732
9857,2018,291521,16166786.557,16166786.557
9859,2018,291524,7188915.0,7188915.0
9861,2018,291529,2301661.411,2301661.411
9862,2018,291531,,
9865,2018,291532,246150752.256,246150752.256
9867,2018,291533,768503.31,768503.31
9869,2018,291539,20342458.146,20342458.146
9871,2018,291540,2239888.124,2239888.124
9873,2018,291550,24633260.865,24633260.865
9875,2018,291560,27815651.268,27815651.268
9877,2018,291570,25620882.026,25620882.026
9879,2018,291590,215996131.965,215996131.965
9880,2018,291611,,
9883,2018,291612,43126890.996,43126890.996
9885,2018,291613,10095951.874,10095951.874
9887,2018,291614,164065044.828,164065044.828
9888,2018,291615,,
9891,2018,291619,3810051.569,3810051.569
9893,2018,291620,1873909.135,1873909.135
9894,2018,291631,,
9897,2018,291632,1263382.397,1263382.397
9898,2018,291634,,
9901,2018,291639,900071.84,900071.84
9903,2018,291711,453051.3,453051.3
9905,2018,291712,17691356.97,17691356.97
9907,2018,291713,2132324.873,2132324.873
9909,2018,291714,1157417.015,1157417.015
9911,2018,291719,5267643.525,5267643.525
9913,2018,291720,22260538.398,22260538.398
9915,2018,291732,94952882.155,94952882.155
9917,2018,291733,25610361.902,25610361.902
9919,2018,291734,3332824.087,3332824.087
9921,2018,291735,26742385.771,26742385.771
9923,2018,291736,783132992.815,783132992.815
9924,2018,291737,,
9927,2018,291739,414979383.464,414979383.464
9929,2018,291811,16585089.12,16585089.12
9931,2018,291812,272287.251,272287.251
9933,2018,291813,336575.809,336575.809
9935,2018,291814,919580.922,919580.922
9937,2018,291815,1249378.202,1249378.202
9939,2018,291816,1313730.818,1313730.818
9942,2018,291819,7786207.344,7786207.344
9944,2018,291821,353584.164,353584.164
9946,2018,291822,18549.519,18549.519
9948,2018,291823,458502.664,458502.664
9950,2018,291829,15521776.79,15521776.79
9952,2018,291830,5388829.856,5388829.856
9954,2018,291899,4340593.041,4340593.041
9956,2018,291990,6451200.459,6451200.459
9958,2018,292019,138735.45,138735.45
9961,2018,292023,,
9965,2018,292029,4128978.336,4128978.336
9966,2018,292030,,
9968,2018,292090,67256454.522,67256454.522
9970,2018,292111,125085.146,125085.146
9972,2018,292112,778.767,778.767
9973,2018,292114,,
9976,2018,292119,13965577.13,13965577.13
9978,2018,292121,31748594.974,31748594.974
9980,2018,292122,46436734.506,46436734.506
9982,2018,292129,40192909.78,40192909.78
9984,2018,292130,7227110.322,7227110.322
9986,2018,292141,749591.105,749591.105
9987,2018,292142,,
9990,2018,292143,5655335.308,5655335.308
9992,2018,292144,1434513.223,1434513.223
9994,2018,292145,174155.701,174155.701
9995,2018,292146,,
9997,2018,292149,5141083.226,5141083.226
9999,2018,292151,8789895.198,8789895.198
10001,2018,292159,5767574.208,5767574.208
10003,2018,292211,50361712.703,50361712.703
10005,2018,292212,83050824.059,83050824.059
10006,2018,292214,,
10008,2018,292215,54531804.0,54531804.0
10009,2018,292216,,
10011,2018,292217,1707919.0,1707919.0
10013,2018,292219,17622175.763,17622175.763
10015,2018,292221,1700017.905,1700017.905
10017,2018,292229,2426029.605,2426029.605
10018,2018,292231,,
10020,2018,292239,123518.229,123518.229
10022,2018,292241,1420922.622,1420922.622
10024,2018,292242,295107.585,295107.585
