,Year,Comm. Code,Weight (kg),Quantity
8943,2022,291611,35761852.576,35761852.576
8944,2022,291612,,
8946,2022,291613,9441086.33,9441086.33
8948,2022,291614,,
8950,2022,291615,4728577.177,4728577.177
8952,2022,291616,,
8954,2022,291619,4240317.87,4240317.87
8955,2022,291620,2386249.852,2386249.852
8957,2022,291631,,
8959,2022,291632,952346.277,952346.277
8961,2022,291634,17288.865,17288.865
8964,2022,291639,792415.734,792415.734
8965,2022,291711,336774.626,336774.626
8968,2022,291712,8889052.815,8889052.815
8969,2022,291713,842276.871,842276.871
8972,2022,291714,757300.427,757300.427
8974,2022,291719,3761654.493,3761654.493
8976,2022,291720,30264553.124,30264553.124
8978,2022,291732,5396084.339,5396084.339
8980,2022,291733,23498558.903,23498558.903
8982,2022,291734,15796581.532,15796581.532
8983,2022,291735,,
8986,2022,291736,72407808.844,72407808.844
8987,2022,291737,39202044.419,39202044.419
8990,2022,291739,295720893.979,295720893.979
8991,2022,291811,16293059.945,16293059.945
8993,2022,291812,251663.104,251663.104
8995,2022,291813,346893.838,346893.838
8997,2022,291814,2296095.886,2296095.886
9000,2022,291815,1337450.56,1337450.56
9002,2022,291816,968669.924,968669.924
9004,2022,291819,5611718.176,5611718.176
9006,2022,291821,67552.444,67552.444
9009,2022,291822,3251.261,3251.261
9011,2022,291823,399396.466,399396.466
9012,2022,291829,,
9014,2022,291830,4422569.703,4422569.703
9016,2022,291899,6049885.792,6049885.792
9019,2022,291990,4315683.84,4315683.84
9020,2022,292019,308005.812,308005.812
9027,2022,292029,4187070.626,4187070.626
9028,2022,292090,45015114.902,45015114.902
9031,2022,292111,1980707.463,1980707.463
9033,2022,292112,3028.603,3028.603
9035,2022,292119,6201517.516,6201517.516
9037,2022,292121,34964291.539,34964291.539
9040,2022,292122,24496387.205,24496387.205
9041,2022,292129,36118008.373,36118008.373
9043,2022,292130,7574666.406,7574666.406
9045,2022,292141,359014.449,359014.449
9048,2022,292142,8003924.905,8003924.905
9050,2022,292143,5725075.219,5725075.219
9051,2022,292144,355500.267,355500.267
9053,2022,292145,317572.962,317572.962
9055,2022,292146,,
9056,2022,292149,5101410.958,5101410.958
9058,2022,292151,,
9061,2022,292159,5859006.572,5859006.572
9062,2022,292211,16119013.365,16119013.365
9064,2022,292212,75320435.319,75320435.319
9066,2022,292214,,
9068,2022,292215,39140469.0,39140469.0
9069,2022,292217,992600.0,992600.0
9072,2022,292219,31301813.314,31301813.314
9073,2022,292221,536721.717,536721.717
9075,2022,292229,1363847.484,1363847.484
9077,2022,292231,,
9079,2022,292239,130599.097,130599.097
9081,2022,292241,676471.061,676471.061
9082,2022,292242,535006.089,535006.089
9084,2022,292243,278.661,278.661
9086,2022,292244,,
9087,2022,292249,12993657.611,12993657.611
9089,2022,292250,1123574.956,1123574.956
9092,2022,292310,134577.728,134577.728
9094,2022,292320,5999677.491,5999677.491
9095,2022,292390,24188143.797,24188143.797
9097,2022,292411,,
9100,2022,292419,12606975.363,12606975.363
9102,2022,292421,385447.603,385447.603
